left_arm_angle,right_arm_angle,leg_spread_angle,label,source
157.72675,170.11415,92.910736,jack_out,8
135.75244,158.66882,70.38256,jack_out,8
120.22213,143.94878,69.12107,jack_out,8
130.64459,122.12069,58.712734,jack_out,8
14.440138,9.806622,21.71561,jack_in,8
34.04989,13.832241,19.717516,jack_in,8
42.0806,17.786928,22.288353,jack_in,8
122.29735,148.78618,71.98933,jack_out,8
136.37343,153.19786,61.420807,jack_out,8
161.78375,165.53105,64.216194,jack_out,8
176.79514,123.0092,66.508766,jack_out,8
173.76508,139.20723,93.23823,jack_out,8
168.26921,146.66,110.32383,jack_out,8
168.38828,137.27417,92.9605,jack_out,8
117.48293,150.56862,92.02202,jack_out,8
142.0515,143.97577,76.68506,jack_out,8
30.319994,21.356945,13.638848,jack_in,9
23.374823,15.893511,13.914948,jack_in,9
16.03317,13.483183,14.982984,jack_in,9
15.634814,13.404537,19.459064,jack_in,9
31.91979,19.18999,19.944008,jack_in,9
46.233044,22.641323,17.88758,jack_in,9
36.43321,32.260464,16.272097,jack_in,9
33.25365,21.494152,11.591701,jack_in,9
23.754921,16.710133,13.99219,jack_in,9
16.25983,12.194998,16.40916,jack_in,9
12.25509,9.966893,15.552019,jack_in,9
14.266602,13.276021,16.34464,jack_in,9
21.236374,15.344472,17.242775,jack_in,9
35.35571,22.694748,17.86091,jack_in,9
23.448532,17.758242,14.797709,jack_in,9
22.828026,12.160627,20.018124,jack_in,9
18.409895,13.056672,18.265799,jack_in,9
20.495382,9.266667,24.29988,jack_in,9
21.49937,11.3045635,18.314898,jack_in,9
37.60852,32.146935,21.784409,jack_in,9
24.907812,17.708752,12.186977,jack_in,9
16.054857,11.939923,10.465311,jack_in,9
14.879761,8.880422,12.903947,jack_in,9
18.77384,10.537973,13.373051,jack_in,9
11.939098,14.189889,13.749637,jack_in,9
21.308186,19.061691,14.343202,jack_in,9
32.134804,20.820063,13.959243,jack_in,9
20.394722,18.016024,13.381109,jack_in,9
20.404606,12.686738,16.639065,jack_in,9
21.386354,13.862406,18.076698,jack_in,9
17.846855,11.949114,16.38797,jack_in,9
19.95723,19.32072,16.08893,jack_in,9
27.197874,21.415964,20.46866,jack_in,9
40.73805,25.046095,10.135604,jack_in,9
145.98778,104.101295,64.00075,jack_out,10
133.86925,122.443726,56.64928,jack_out,10
155.88583,126.251465,66.799095,jack_out,10
130.74016,121.680756,67.53495,jack_out,10
147.55396,136.55214,71.15871,jack_out,10
149.68475,143.76709,69.356445,jack_out,10
151.89122,146.33376,67.59083,jack_out,10
150.77692,149.7237,68.049065,jack_out,10
138.43547,131.60127,64.78394,jack_out,10
155.13347,128.25957,67.66346,jack_out,10
164.57881,138.39272,61.55443,jack_out,10
144.69307,108.97329,70.61342,jack_out,10
147.36552,118.02644,73.0151,jack_out,10
137.48198,121.20102,63.75759,jack_out,10
154.17741,141.5039,71.8061,jack_out,10
161.67921,158.6923,67.02637,jack_out,10
155.35185,159.08253,61.655273,jack_out,10
161.91756,155.53098,64.20902,jack_out,10
169.74162,147.30223,58.90119,jack_out,10
163.84387,138.566,57.18661,jack_out,10
161.09271,142.66942,60.355125,jack_out,10
155.63667,133.68,62.82851,jack_out,10
139.06837,122.915726,58.512962,jack_out,10
161.56137,153.41083,61.170734,jack_out,10
163.45946,160.87834,57.720425,jack_out,10
